assessment,attribute,coverage_raw,coverage,att_dimension,category,hover_tile,hover_rationale,hover_attribute
SRA,Ecosystem connectivity,0,0,Ecological,Ecosystem,No relevant SRA indicators,,"A functional network of connected and unfragmented ecosystem components, which provide greater opportunities for movement, migration, and changes in distribution, are essential to the resilience of a population if the loss of an ecosystem component due to climate associated impacts or an ecosystem shock occurs. Strong connectivity supports ecosystem function and the movement or regeneration of nutrients, energy, and organisms (Kinlan and Gaines 2003)."
ERA + SRA,Ecosystem connectivity,1,1,Ecological,Ecosystem,Weak coverage by an ERA or SRA indicator,: see ERA 2.5.1 where the indicator ensures that fishery does not harm ecosystem connectivity but does not capture other threats to connectivity.,"A functional network of connected and unfragmented ecosystem components, which provide greater opportunities for movement, migration, and changes in distribution, are essential to the resilience of a population if the loss of an ecosystem component due to climate associated impacts or an ecosystem shock occurs. Strong connectivity supports ecosystem function and the movement or regeneration of nutrients, energy, and organisms (Kinlan and Gaines 2003)."
ERA,Efficient and effective,5,3,Governance,Effective,Strong coverage in the ERA of effectiveness but not efficiency,": see ERA 3.1.1, ERA 3.1.2, ERA 3.2.3, although including efficient use of resources as a component of ERA 3.1.1 could better measure effective and efficient governance.",The degree to which the *employer/management system* produces outcomes that achieve societal and/or fishery objectives while efficiently using available resources.
SRA,Efficient and effective,0,0,Governance,Effective,No relevant SRA indicators,,The degree to which the *employer/management system* produces outcomes that achieve societal and/or fishery objectives while efficiently using available resources.
ERA + SRA,Efficient and effective,5,3,Governance,Effective,Strong coverage when combining ERA+SRA  of effectiveness but not efficiency,": see ERA 3.1.1, ERA 3.1.2, ERA 3.2.3, although including efficient use of resources as a component of ERA 3.1.1 could better measure effective and efficient governance.",The degree to which the *employer/management system* produces outcomes that achieve societal and/or fishery objectives while efficiently using available resources.
ERA,Equitable and inclusive,0,0,Governance,Just,No relevant ERA indicators,,"The degree to which the *employer/management system* is fair in the distribution of benefits and burdens (risks), participatory in rule and decision-making for relevant actors, and engaged and inclusive of marinalized and disadvantaged groups (Bennett et al., 2020)."
SRA,Equitable and inclusive,8,3,Governance,Just,Strong coverage in the SRA,": see SRA 2.2.1, SRA 2.2.2, SRA 2.1.2, SRA 2.1.1, SRA 3.2.1, SRA 3.2.2, SRA 1.1.8, SRA 2.2.1, SRA 3.1.3, SRA 3.2.1","The degree to which the *employer/management system* is fair in the distribution of benefits and burdens (risks), participatory in rule and decision-making for relevant actors, and engaged and inclusive of marinalized and disadvantaged groups (Bennett et al., 2020)."
ERA + SRA,Equitable and inclusive,8,3,Governance,Just,Strong coverage when combining ERA+SRA,": see SRA 2.2.1, SRA 2.2.2, SRA 2.1.2, SRA 2.1.1, SRA 3.2.1, SRA 3.2.2, SRA 1.1.8, SRA 2.2.1, SRA 3.1.3, SRA 3.2.1","The degree to which the *employer/management system* is fair in the distribution of benefits and burdens (risks), participatory in rule and decision-making for relevant actors, and engaged and inclusive of marinalized and disadvantaged groups (Bennett et al., 2020)."
ERA,Flexible and agile infrastructure,0,0,Socio-economic,Engineered,No relevant ERA indicators,: No indicators consider “the ability of built structure and facilities to provide needed services under a wide range of conditions and quickly respond to predictable and unpredictable changes” (Mason et al. 2022). ,The ability of built structure and facilities to provide needed services under a wide range of conditions and quickly respond to predictable and unpredictable changes.
SRA,Flexible and agile infrastructure,0,0,Socio-economic,Engineered,No relevant SRA indicators,: No indicators consider “the ability of built structure and facilities to provide needed services under a wide range of conditions and quickly respond to predictable and unpredictable changes” (Mason et al. 2022). ,The ability of built structure and facilities to provide needed services under a wide range of conditions and quickly respond to predictable and unpredictable changes.
ERA + SRA,Flexible and agile infrastructure,0,0,Socio-economic,Engineered,No relevant ERA or SRA indicators,: No indicators consider “the ability of built structure and facilities to provide needed services under a wide range of conditions and quickly respond to predictable and unpredictable changes” (Mason et al. 2022). ,The ability of built structure and facilities to provide needed services under a wide range of conditions and quickly respond to predictable and unpredictable changes.
ERA,Habitat diversity,2,2,Ecological,Ecosystem,Medium coverage by an ERA indicator,": see ERA 2.4.1, ERA 2.4.2. ERA 2.4.1 ensures the fishery does not cause serious or irreversible harm to the habitat, and in doing so considers the fishery's effect on ""the suitability of habitat"" component of the attribute of Habitat diversity. ERA 2.4.2 evaluates habitat management practices and potential effectiveness, and in doing so considers ""the suitability of habitat"" component of the attribute of Habitat diversity. However, the indicators do not directly address the diversity of habitats available that a fished population can exploit and factors outside the fishery affecting habitat diversity, which could be managed for through cross-scale and cross-sector integration. ","The range of suitable, adjacent, and available habitats that a population can exploit."
SRA,Habitat diversity,0,0,Ecological,Ecosystem,No relevant SRA indicators,,"The range of suitable, adjacent, and available habitats that a population can exploit."
ERA + SRA,Habitat diversity,2,2,Ecological,Ecosystem,Medium coverage when combining the ERA+SRA,": see ERA 2.4.1, ERA 2.4.2. ERA 2.4.1 ensures the fishery does not cause serious or irreversible harm to the habitat, and in doing so considers the fishery's effect on ""the suitability of habitat"" component of the attribute of Habitat diversity. ERA 2.4.2 evaluates habitat management practices and potential effectiveness, and in doing so considers ""the suitability of habitat"" component of the attribute of Habitat diversity. However, the indicators do not directly address the diversity of habitats available that a fished population can exploit and factors outside the fishery affecting habitat diversity, which could be managed for through cross-scale and cross-sector integration. ","The range of suitable, adjacent, and available habitats that a population can exploit."
ERA,Integrated across scales and sectors,0,0,Governance,Connected,No relevant ERA indicators,,"The degree to which actors and/or organizations acknowledge, work with, and attempt to understand the relevance and transition of scale and the interlinkages between various other organizations, institutions, and management structures."
SRA,Integrated across scales and sectors,0,0,Governance,Connected,No relevant SRA indicators,,"The degree to which actors and/or organizations acknowledge, work with, and attempt to understand the relevance and transition of scale and the interlinkages between various other organizations, institutions, and management structures."
ERA + SRA,Integrated across scales and sectors,0,0,Governance,Connected,No relevant ERA or SRA indicators,": No indicators consider the degree to which the fishery collaborates across scales and sectors and ""attempts to understand interlinkages...between various other organizations, institutions, and management structures"" (Mason et al. 2022).","The degree to which actors and/or organizations acknowledge, work with, and attempt to understand the relevance and transition of scale and the interlinkages between various other organizations, institutions, and management structures."
ERA,Leadership and initiative,0,0,Governance,Just,No relevant ERA indicators,,"A system that legitimizes and supports the development of leaders who are guided by collective interests, who mobilize and direct responses to disruptions (Kerner and Thomas 2014 pp 682), and who take responsibility and act when necessary (Bodin & Crona, 2008; Gutierrez et al., 2011, Crona et al., 2017)."
SRA,Leadership and initiative,0,0,Governance,Just,No relevant SRA indicators,,"A system that legitimizes and supports the development of leaders who are guided by collective interests, who mobilize and direct responses to disruptions (Kerner and Thomas 2014 pp 682), and who take responsibility and act when necessary (Bodin & Crona, 2008; Gutierrez et al., 2011, Crona et al., 2017)."
ERA + SRA,Leadership and initiative,0,0,Governance,Just,No relevant ERA or SRA indicators,": No indicators consider the degree to which the fishery ""legitimizes and supports the development of leaders who are guided by collective interests, who mobilize and direct responses to disruptions (Kerner and Thomas 2014 pp 682), and who take responsibility and act when necessary (Bodin & Crona, 2008; Gutierrez et al., 2011, Crona et al., 2017)"" (Mason et al. 2022).","A system that legitimizes and supports the development of leaders who are guided by collective interests, who mobilize and direct responses to disruptions (Kerner and Thomas 2014 pp 682), and who take responsibility and act when necessary (Bodin & Crona, 2008; Gutierrez et al., 2011, Crona et al., 2017)."
ERA,Learning capacity,0,0,Socio-economic,Learning,No relevant ERA indicators,": Ability of individuals, communities or fishery to recognize change and potential risk and thereby be better able to prepare and develop adaptive actions is not measured by any indicator","The degree to which individuals and communities are able to perceive risk, learn from experience, synthesize information, and grow their own knowledge."
SRA,Learning capacity,1,1,Socio-economic,Learning,Weak coverage by an SRA indicator *Potentially update to no coverage*,": Ability of individuals, communities or fishery to recognize change and potential risk and thereby be better able to prepare and develop adaptive actions is not measured by any indicator although see SRA 3.1.3 regarding education","The degree to which individuals and communities are able to perceive risk, learn from experience, synthesize information, and grow their own knowledge."
ERA + SRA,Learning capacity,1,1,Socio-economic,Learning,Weak coverage by an ERA or SRA indicator *Potentially update to no coverage*,": Ability of individuals, communities or fishery to recognize change and potential risk and thereby be better able to prepare and develop adaptive actions is not measured by any indicator although see SRA 3.1.3 regarding education","The degree to which individuals and communities are able to perceive risk, learn from experience, synthesize information, and grow their own knowledge."
ERA,Mobility,0,0,Socio-economic,Human,No relevant ERA indicators,,"An individual's and/or community's ability to move freely and easily, either temporarily or permanently."
SRA,Mobility,3,3,Socio-economic,Human,Strong coverage in the SRA *update needed,": see SRA 1.1.2a, SRA 1.1.7b. While these indicators provide strong coverage regarding the ability of individuals to move freely to prohibit forced labor but they do nor measure mobility of the fishery or fishing community. Such mobility can increase flexibility allowing fishers and the fishery ""to respond to changes by changing fishing strategies, locations, and/or livelihoods"".","An individual's and/or community's ability to move freely and easily, either temporarily or permanently."
ERA + SRA,Mobility,3,3,Socio-economic,Human,Strong coverage when combining ERA+SRA *Potentially reassess,": see SRA 1.1.2a, SRA 1.1.7b. While these indicators provide strong coverage regarding the ability of individuals to move freely to prohibit forced labor but they do nor measure mobility of the fishery or fishing community. Such mobility can increase flexibility allowing fishers and the fishery ""to respond to changes by changing fishing strategies, locations, and/or livelihoods"".","An individual's and/or community's ability to move freely and easily, either temporarily or permanently."
ERA,Modular and open infrastructure,0,0,Socio-economic,Engineered,No relevant ERA indicators,: No indicators consider “the ability of built structure and facilities to provide needed services under a wide range of conditions and quickly respond to predictable and unpredictable changes” (Mason et al. 2022). ,The degree of compartmentalization within and across built structures and facilities and the ease with which diffusion can proceed.
SRA,Modular and open infrastructure,0,0,Socio-economic,Engineered,No relevant SRA indicators,: No indicators consider “the ability of built structure and facilities to provide needed services under a wide range of conditions and quickly respond to predictable and unpredictable changes” (Mason et al. 2022). ,The degree of compartmentalization within and across built structures and facilities and the ease with which diffusion can proceed.
ERA + SRA,Modular and open infrastructure,0,0,Socio-economic,Engineered,No relevant ERA or SRA indicators,: No indicators consider “the ability of built structure and facilities to provide needed services under a wide range of conditions and quickly respond to predictable and unpredictable changes” (Mason et al. 2022). ,The degree of compartmentalization within and across built structures and facilities and the ease with which diffusion can proceed.
ERA,Participatory,3,3,Governance,Just,Strong coverage in the ERA,: see ERA 3.1.2,"The degree to which the *employer/management system*empowers citizens to influence and share control in processes of public decision-making, ranging from intermittent consultation opportunities to ongoing self-mobilization (Coghlan & Brydon-Miller, 2014, Leite and Pita 2016)."
SRA,Participatory,6,3,Governance,Just,Strong coverage in the SRA,": see SRA 1.2.1, SRA 2.1.1, SRA 1.1.7a, SRA 2.1.2, SRA 1.1.4","The degree to which the *employer/management system*empowers citizens to influence and share control in processes of public decision-making, ranging from intermittent consultation opportunities to ongoing self-mobilization (Coghlan & Brydon-Miller, 2014, Leite and Pita 2016)."
ERA + SRA,Participatory,9,3,Governance,Just,Strong coverage when combining ERA+SRA,": see ERA 3.1.2, SRA 1.2.1, SRA 2.1.1, SRA 1.1.7a, SRA 2.1.2, SRA 1.1.4","The degree to which the *employer/management system*empowers citizens to influence and share control in processes of public decision-making, ranging from intermittent consultation opportunities to ongoing self-mobilization (Coghlan & Brydon-Miller, 2014, Leite and Pita 2016)."
ERA,Polycentric,2,2,Governance,Connected,Medium coverage by an ERA indicator,": see ERA 3.1.2. The involvement of multiple organization and individuals and strong understanding of responsibilities implies a key part of polycentric management. However, the indicator does not specifically measure polycentricity at the government level.","The degree to which multiple bodies at different levels of the *employer/management system* overlap and interact to make and enforce rules within a specific policy arena or location (Ostrom 2005, Folke et al. 2005)."
SRA,Polycentric,0,0,Governance,Connected,No relevant SRA indicators,,"The degree to which multiple bodies at different levels of the *employer/management system* overlap and interact to make and enforce rules within a specific policy arena or location (Ostrom 2005, Folke et al. 2005)."
ERA + SRA,Polycentric,2,2,Governance,Connected,Medium coverage when combining the ERA+SRA,": see ERA 3.1.2. The involvement of multiple organization and individuals and strong understanding of responsibilities implies a key part of polycentric management. However, the indicator does not specifically measure polycentricity at the government level.","The degree to which multiple bodies at different levels of the *employer/management system* overlap and interact to make and enforce rules within a specific policy arena or location (Ostrom 2005, Folke et al. 2005)."
ERA,Population abundance,3,3,Ecological,Fish capital,Strong coverage in the ERA,: see ERA 1.1.1 where stock status outcome measures stock biomass. ,The abundance or biomass of a species present in a defined geographic range.
SRA,Population abundance,0,0,Ecological,Fish capital,No relevant SRA indicators,,The abundance or biomass of a species present in a defined geographic range.
ERA + SRA,Population abundance,3,3,Ecological,Fish capital,Strong coverage when combining ERA+SRA,: see ERA 1.1.1 where stock status outcome measures stock biomass. ,The abundance or biomass of a species present in a defined geographic range.
ERA,Resilience mindset,0,0,Socio-economic,Psychological,No relevant ERA indicators,": A resilience mindset “considers the dynamics of complex social-ecological systems, [and] not only accept[s] the fact that things are going to change but also account for this fact in planning, decision-making, and management” (Mason et al. 2022) (Slootweg and Jones 2011). The extent to which individuals and leaders within the fishery hold this mindset is not measured by any indicator. ","The degree to which individuals accept resilience thinking from a perspective that recognizes characteristics of complexity, uncertainty, nonlinearity, thresholds, feedbacks, irreversibility, and multi-scale and multi-level interactions in a changing world."
SRA,Resilience mindset,0,0,Socio-economic,Psychological,No relevant SRA indicators,": A resilience mindset “considers the dynamics of complex social-ecological systems, [and] not only accept[s] the fact that things are going to change but also account for this fact in planning, decision-making, and management” (Mason et al. 2022) (Slootweg and Jones 2011). The extent to which individuals and leaders within the fishery hold this mindset is not measured by any indicator. ","The degree to which individuals accept resilience thinking from a perspective that recognizes characteristics of complexity, uncertainty, nonlinearity, thresholds, feedbacks, irreversibility, and multi-scale and multi-level interactions in a changing world."
ERA + SRA,Resilience mindset,0,0,Socio-economic,Psychological,No relevant ERA or SRA indicators,": A resilience mindset “considers the dynamics of complex social-ecological systems, [and] not only accept[s] the fact that things are going to change but also account for this fact in planning, decision-making, and management” (Mason et al. 2022) (Slootweg and Jones 2011). The extent to which individuals and leaders within the fishery hold this mindset is not measured by any indicator. ","The degree to which individuals accept resilience thinking from a perspective that recognizes characteristics of complexity, uncertainty, nonlinearity, thresholds, feedbacks, irreversibility, and multi-scale and multi-level interactions in a changing world."
ERA,Responsive,1,1,Governance,Dynamic,Weak coverage by an ERA indicator,": see ERA 1.2.1. A responsive harvest strategy to stocks promotes flexibility that is useful in the case of shocks. Currently the indicator is scored in terms of responsiveness to state of the stock but  responsiveness to shocks is not mentioned, but could be easily adapted to include this component of responsive governance relevant to climate resilience. ","The sensitivity, readiness for, speed, and accuracy with which a *employer/management system* handles, resolves, and follows up on a management-relevant change."
SRA,Responsive,0,0,Governance,Dynamic,No relevant SRA indicators,,"The sensitivity, readiness for, speed, and accuracy with which a *employer/management system* handles, resolves, and follows up on a management-relevant change."
ERA + SRA,Responsive,1,1,Governance,Dynamic,Weak coverage by an ERA or SRA indicator,": see ERA 1.2.1. A responsive harvest strategy to stocks promotes flexibility that is useful in the case of shocks. Currently the indicator is scored in terms of responsiveness to state of the stock but  responsiveness to shocks is not mentioned, but could be easily adapted to include this component of responsive governance relevant to climate resilience. ","The sensitivity, readiness for, speed, and accuracy with which a *employer/management system* handles, resolves, and follows up on a management-relevant change."
ERA,Social capital,0,0,Socio-economic,Social,No relevant ERA indicators,,The strength of networks of relationships among people and organizations who live and work in a particular community.
SRA,Social capital,2,2,Socio-economic,Social,Medium coverage by an SRA indicator,": see SRA 1.1.4, SRA 2.1.2. Social capital refers to “the strength of networks of relationships among people and organizations who live and work in a particular community” (Mason et al. 2022). The training mentioned in SRA 1.1.4 implies the potential of collective bargaining to exist. Only the final sentence regarding women's participation in unions or cooperatives indicates that actualized existence of these organizations. If indicator articulated that collective bargain organizations exist in the fishery rather than individuals having the right to create organizations the attribute of social capital would be better reflected by this indicator. SRA 2.1.2 implies bridging and linking social capital via stakeholder participation and collaborative management However this broad inclusivity is only an enabling condition of (rather than a measure of) strong social networks.",The strength of networks of relationships among people and organizations who live and work in a particular community.
ERA + SRA,Social capital,2,2,Socio-economic,Social,Medium coverage when combining the ERA+SRA,": see SRA 1.1.4, SRA 2.1.2. Social capital refers to “the strength of networks of relationships among people and organizations who live and work in a particular community” (Mason et al. 2022). The training mentioned in SRA 1.1.4 implies the potential of collective bargaining to exist. Only the final sentence regarding women's participation in unions or cooperatives indicates that actualized existence of these organizations. If indicator articulated that collective bargain organizations exist in the fishery rather than individuals having the right to create organizations the attribute of social capital would be better reflected by this indicator. SRA 2.1.2 implies bridging and linking social capital via stakeholder participation and collaborative management However this broad inclusivity is only an enabling condition of (rather than a measure of) strong social networks.",The strength of networks of relationships among people and organizations who live and work in a particular community.
ERA,Species diversity,1,1,Ecological,Fish capital,Weak coverage by an ERA indicator,": see ERA 2.2.1. ERA indicators generally measure the impact of the fishery on ecological resilience attributes (like species diversity) but not the broader status and risks to these attributes. ERA 2.2.1 considers whether “main other species are highly likely to be above biologically based limits”. The Indicator measures the fishery's impact on ""main species"" outside the fishery, but not the diversity of species and other factors affecting species diversity.",The diversity of species within a community.
SRA,Species diversity,0,0,Ecological,Fish capital,No relevant SRA indicators,,The diversity of species within a community.
ERA + SRA,Species diversity,1,1,Ecological,Fish capital,Weak coverage by an ERA or SRA indicator,": see ERA 2.2.1. ERA indicators generally measure the impact of the fishery on ecological resilience attributes (like species diversity) but not the broader status and risks to these attributes. ERA 2.2.1 considers whether “main other species are highly likely to be above biologically based limits”. The Indicator measures the fishery's impact on ""main species"" outside the fishery, but not the diversity of species and other factors affecting species diversity.",The diversity of species within a community.
ERA,Technology advancement,0,0,Socio-economic,Engineered,No relevant ERA indicators,": Technology can help a fishery cope, adapt and transform in the face of uncertainty and environmental changes (Millennium Ecosystem Assessment, 2005). Technology advancement, adoption, and transfer refers to “level and capacity of [the fishery] to develop and acquire new technologies and methods as well as the ease with which these technologies and methods are transferred between and among actors in the system” (Mason et al. 2022). Technology transfer can help ensure the impacts of climate change do not exacerbate distributional inequities within a fishery. ","Technology can help to buffer against environmental changes (Millennium Ecosystem Assessment, 2005) and improve the adaptive capacity of fisheries management, the economic outputs from the fishery, and the well-being of stakeholders in the system. New technology could alter flows and distributions of benefits and may lead to less equitable outcomes."
SRA,Technology advancement,0,0,Socio-economic,Engineered,No relevant SRA indicators,": Technology can help a fishery cope, adapt and transform in the face of uncertainty and environmental changes (Millennium Ecosystem Assessment, 2005). Technology advancement, adoption, and transfer refers to “level and capacity of [the fishery] to develop and acquire new technologies and methods as well as the ease with which these technologies and methods are transferred between and among actors in the system” (Mason et al. 2022). Technology transfer can help ensure the impacts of climate change do not exacerbate distributional inequities within a fishery. ","Technology can help to buffer against environmental changes (Millennium Ecosystem Assessment, 2005) and improve the adaptive capacity of fisheries management, the economic outputs from the fishery, and the well-being of stakeholders in the system. New technology could alter flows and distributions of benefits and may lead to less equitable outcomes."
ERA + SRA,Technology advancement,0,0,Socio-economic,Engineered,No relevant ERA or SRA indicators,": Technology can help a fishery cope, adapt and transform in the face of uncertainty and environmental changes (Millennium Ecosystem Assessment, 2005). Technology advancement, adoption, and transfer refers to “level and capacity of [the fishery] to develop and acquire new technologies and methods as well as the ease with which these technologies and methods are transferred between and among actors in the system” (Mason et al. 2022). Technology transfer can help ensure the impacts of climate change do not exacerbate distributional inequities within a fishery. ","Technology can help to buffer against environmental changes (Millennium Ecosystem Assessment, 2005) and improve the adaptive capacity of fisheries management, the economic outputs from the fishery, and the well-being of stakeholders in the system. New technology could alter flows and distributions of benefits and may lead to less equitable outcomes."
ERA,Transparent,3,3,Governance,Just,Strong coverage in the ERA,": see ERA 3.1.1, ERA 3.2.2 (although the timely nature of information accessibility could be further emphasized to support resilience).","The openness and accessibility of timely information, decision-making rules and procedures, and outcomes to members of the public or stakeholders affected by management actions (Clark et al. 2015, Davis and Hanich 2020)."
SRA,Transparent,2,2,Governance,Just,Medium coverage by an SRA indicator,": see SRA 2.1.2, SRA 1.2.2","The openness and accessibility of timely information, decision-making rules and procedures, and outcomes to members of the public or stakeholders affected by management actions (Clark et al. 2015, Davis and Hanich 2020)."
ERA + SRA,Transparent,5,3,Governance,Just,Strong coverage when combining ERA+SRA,": see ERA 3.1.1, ERA 3.2.2, SRA 2.1.2, SRA 1.2.2","The openness and accessibility of timely information, decision-making rules and procedures, and outcomes to members of the public or stakeholders affected by management actions (Clark et al. 2015, Davis and Hanich 2020)."
ERA,Wealth and reserves,0,0,Socio-economic,Livelihood,No relevant ERA indicators,,"The aggregate value of assets available to individuals, organizations, and communities that contribute to human well-being."
SRA,Wealth and reserves,8,3,Socio-economic,Livelihood,Strong coverage in the SRA,": see SRA 1.1.2a, SRA 1.1.5, SRA 1.1.7a, SRA 3.1.1a, SRA 3.2.1, SRA 3.2.3, SRA 3.2.5 which in summation consider the quality, quantity, and access to wealth and reserves for harvesters and local residents.","The aggregate value of assets available to individuals, organizations, and communities that contribute to human well-being."
ERA + SRA,Wealth and reserves,8,3,Socio-economic,Livelihood,Strong coverage when combining ERA+SRA,": see SRA 1.1.2a, SRA 1.1.5, SRA 1.1.7a, SRA 3.1.1a, SRA 3.2.1, SRA 3.2.3, SRA 3.2.5 which in summation consider the quality, quantity, and access to wealth and reserves for harvesters and local residents.","The aggregate value of assets available to individuals, organizations, and communities that contribute to human well-being."
